"","Region","Treatment","Metabolite","Intensity"
"8465","Basal ganglia","Est","3-Indolepropionic acid",1180
"8466","Basal ganglia","Est","3-Indolepropionic acid",1274
"8467","Basal ganglia","Est","3-Indolepropionic acid",2445
"8468","Basal ganglia","Est","3-Indolepropionic acid",1932
"8469","Basal ganglia","Est","3-Indolepropionic acid",1349
"8470","Basal ganglia","Est","3-Indolepropionic acid",1229
"8471","Basal ganglia","Est","3-Indolepropionic acid",2205
"8472","Basal ganglia","Est","3-Indolepropionic acid",971
"8473","Hypothalamus","Control","3-Indolepropionic acid",1569
"8474","Hypothalamus","Control","3-Indolepropionic acid",4143
"8475","Hypothalamus","Control","3-Indolepropionic acid",7421
"8476","Hypothalamus","Control","3-Indolepropionic acid",1173
"8477","Hypothalamus","Control","3-Indolepropionic acid",4529
"8478","Hypothalamus","Control","3-Indolepropionic acid",4359
"8479","Hypothalamus","Control","3-Indolepropionic acid",2845
"8480","Hypothalamus","Control","3-Indolepropionic acid",1032
"8481","Hypothalamus","C4","3-Indolepropionic acid",5849
"8482","Hypothalamus","C4","3-Indolepropionic acid",9967
"8483","Hypothalamus","C4","3-Indolepropionic acid",11491
"8484","Hypothalamus","C4","3-Indolepropionic acid",6453
"8485","Hypothalamus","C4","3-Indolepropionic acid",2283
"8486","Hypothalamus","C4","3-Indolepropionic acid",4094
"8487","Hypothalamus","C4","3-Indolepropionic acid",1182
"8488","Hypothalamus","C4","3-Indolepropionic acid",2567
"8489","Hypothalamus","Est","3-Indolepropionic acid",1278
"8490","Hypothalamus","Est","3-Indolepropionic acid",1545
"8491","Hypothalamus","Est","3-Indolepropionic acid",1324
"8492","Hypothalamus","Est","3-Indolepropionic acid",9151
"8493","Hypothalamus","Est","3-Indolepropionic acid",1616
"8494","Hypothalamus","Est","3-Indolepropionic acid",1297
"8495","Hypothalamus","Est","3-Indolepropionic acid",1599
"8496","Hypothalamus","Est","3-Indolepropionic acid",1274
"8497","Hippocampus","Control","Kojic acid",140754784
"8498","Hippocampus","Control","Kojic acid",157245904
"8499","Hippocampus","Control","Kojic acid",165903120
"8500","Hippocampus","Control","Kojic acid",165194880
"8501","Hippocampus","Control","Kojic acid",152909904
"8502","Hippocampus","Control","Kojic acid",167495520
"8503","Hippocampus","Control","Kojic acid",159411600
"8504","Hippocampus","Control","Kojic acid",150695296
"8505","Hippocampus","C4","Kojic acid",163135328
"8506","Hippocampus","C4","Kojic acid",149651472
"8507","Hippocampus","C4","Kojic acid",185859024
"8508","Hippocampus","C4","Kojic acid",158088416
"8509","Hippocampus","C4","Kojic acid",141654272
"8510","Hippocampus","C4","Kojic acid",135440208
"8511","Hippocampus","C4","Kojic acid",165473552
"8512","Hippocampus","C4","Kojic acid",136655424
"8513","Hippocampus","Est","Kojic acid",146497968
"8514","Hippocampus","Est","Kojic acid",155780992
"8515","Hippocampus","Est","Kojic acid",159165824
"8516","Hippocampus","Est","Kojic acid",136094480
"8517","Hippocampus","Est","Kojic acid",152306384
"8518","Hippocampus","Est","Kojic acid",123608888
"8519","Hippocampus","Est","Kojic acid",143264176
"8520","Hippocampus","Est","Kojic acid",131952232
"8521","Basal ganglia","Control","Kojic acid",133642624
"8522","Basal ganglia","Control","Kojic acid",139399552
"8523","Basal ganglia","Control","Kojic acid",143755696
"8524","Basal ganglia","Control","Kojic acid",137741104
"8525","Basal ganglia","Control","Kojic acid",141735968
"8526","Basal ganglia","Control","Kojic acid",173587072
"8527","Basal ganglia","Control","Kojic acid",146325488
"8528","Basal ganglia","Control","Kojic acid",124857504
"8529","Basal ganglia","C4","Kojic acid",145501392
"8530","Basal ganglia","C4","Kojic acid",169877360
"8531","Basal ganglia","C4","Kojic acid",155357792
"8532","Basal ganglia","C4","Kojic acid",142806784
"8533","Basal ganglia","C4","Kojic acid",132548328
"8534","Basal ganglia","C4","Kojic acid",154119696
"8535","Basal ganglia","C4","Kojic acid",139316912
"8536","Basal ganglia","C4","Kojic acid",139960944
"8537","Basal ganglia","Est","Kojic acid",177469120
"8538","Basal ganglia","Est","Kojic acid",170985264
"8539","Basal ganglia","Est","Kojic acid",151160160
"8540","Basal ganglia","Est","Kojic acid",176784608
"8541","Basal ganglia","Est","Kojic acid",174979536
"8542","Basal ganglia","Est","Kojic acid",161595280
"8543","Basal ganglia","Est","Kojic acid",152161280
"8544","Basal ganglia","Est","Kojic acid",157640720
"8545","Hypothalamus","Control","Kojic acid",187733872
"8546","Hypothalamus","Control","Kojic acid",206613136
"8547","Hypothalamus","Control","Kojic acid",192023280
"8548","Hypothalamus","Control","Kojic acid",17303992
"8549","Hypothalamus","Control","Kojic acid",221857296
"8550","Hypothalamus","Control","Kojic acid",189212720
"8551","Hypothalamus","Control","Kojic acid",186542240
"8552","Hypothalamus","Control","Kojic acid",123590200
"8553","Hypothalamus","C4","Kojic acid",197652544
"8554","Hypothalamus","C4","Kojic acid",178532944
"8555","Hypothalamus","C4","Kojic acid",177151104
"8556","Hypothalamus","C4","Kojic acid",202815200
"8557","Hypothalamus","C4","Kojic acid",173048336
"8558","Hypothalamus","C4","Kojic acid",196687696
"8559","Hypothalamus","C4","Kojic acid",71623184
"8560","Hypothalamus","C4","Kojic acid",212662096
"8561","Hypothalamus","Est","Kojic acid",117014112
"8562","Hypothalamus","Est","Kojic acid",105827416
"8563","Hypothalamus","Est","Kojic acid",168324896
"8564","Hypothalamus","Est","Kojic acid",162378576
"8565","Hypothalamus","Est","Kojic acid",184476320
"8566","Hypothalamus","Est","Kojic acid",231425344
"8567","Hypothalamus","Est","Kojic acid",182554320
"8568","Hypothalamus","Est","Kojic acid",122147640
"8569","Hippocampus","Control","DL-3-Phenyllactic acid",91498
"8570","Hippocampus","Control","DL-3-Phenyllactic acid",109187
"8571","Hippocampus","Control","DL-3-Phenyllactic acid",107158
"8572","Hippocampus","Control","DL-3-Phenyllactic acid",120786
"8573","Hippocampus","Control","DL-3-Phenyllactic acid",93944
"8574","Hippocampus","Control","DL-3-Phenyllactic acid",77121
"8575","Hippocampus","Control","DL-3-Phenyllactic acid",72149
"8576","Hippocampus","Control","DL-3-Phenyllactic acid",84129
"8577","Hippocampus","C4","DL-3-Phenyllactic acid",97526
"8578","Hippocampus","C4","DL-3-Phenyllactic acid",93822
"8579","Hippocampus","C4","DL-3-Phenyllactic acid",82010
"8580","Hippocampus","C4","DL-3-Phenyllactic acid",80054
"8581","Hippocampus","C4","DL-3-Phenyllactic acid",83428
"8582","Hippocampus","C4","DL-3-Phenyllactic acid",87061
"8583","Hippocampus","C4","DL-3-Phenyllactic acid",59800
"8584","Hippocampus","C4","DL-3-Phenyllactic acid",83658
"8585","Hippocampus","Est","DL-3-Phenyllactic acid",95930
"8586","Hippocampus","Est","DL-3-Phenyllactic acid",82063
"8587","Hippocampus","Est","DL-3-Phenyllactic acid",87655
"8588","Hippocampus","Est","DL-3-Phenyllactic acid",75495
"8589","Hippocampus","Est","DL-3-Phenyllactic acid",110700
"8590","Hippocampus","Est","DL-3-Phenyllactic acid",63990
"8591","Hippocampus","Est","DL-3-Phenyllactic acid",100887
"8592","Hippocampus","Est","DL-3-Phenyllactic acid",68514
"8593","Basal ganglia","Control","DL-3-Phenyllactic acid",77824
"8594","Basal ganglia","Control","DL-3-Phenyllactic acid",83417
"8595","Basal ganglia","Control","DL-3-Phenyllactic acid",68675
"8596","Basal ganglia","Control","DL-3-Phenyllactic acid",65252
"8597","Basal ganglia","Control","DL-3-Phenyllactic acid",111823
"8598","Basal ganglia","Control","DL-3-Phenyllactic acid",80923
"8599","Basal ganglia","Control","DL-3-Phenyllactic acid",56049
"8600","Basal ganglia","Control","DL-3-Phenyllactic acid",60283
"8601","Basal ganglia","C4","DL-3-Phenyllactic acid",56313
"8602","Basal ganglia","C4","DL-3-Phenyllactic acid",87322
"8603","Basal ganglia","C4","DL-3-Phenyllactic acid",47951
"8604","Basal ganglia","C4","DL-3-Phenyllactic acid",83730
"8605","Basal ganglia","C4","DL-3-Phenyllactic acid",76175
"8606","Basal ganglia","C4","DL-3-Phenyllactic acid",65237
"8607","Basal ganglia","C4","DL-3-Phenyllactic acid",65396
"8608","Basal ganglia","C4","DL-3-Phenyllactic acid",70591
"8609","Basal ganglia","Est","DL-3-Phenyllactic acid",98863
"8610","Basal ganglia","Est","DL-3-Phenyllactic acid",73539
"8611","Basal ganglia","Est","DL-3-Phenyllactic acid",87044
"8612","Basal ganglia","Est","DL-3-Phenyllactic acid",91110
"8613","Basal ganglia","Est","DL-3-Phenyllactic acid",83043
"8614","Basal ganglia","Est","DL-3-Phenyllactic acid",46117
"8615","Basal ganglia","Est","DL-3-Phenyllactic acid",71672
"8616","Basal ganglia","Est","DL-3-Phenyllactic acid",68445
"8617","Hypothalamus","Control","DL-3-Phenyllactic acid",55625
"8618","Hypothalamus","Control","DL-3-Phenyllactic acid",62550
"8619","Hypothalamus","Control","DL-3-Phenyllactic acid",77003
"8620","Hypothalamus","Control","DL-3-Phenyllactic acid",28913
"8621","Hypothalamus","Control","DL-3-Phenyllactic acid",79542
"8622","Hypothalamus","Control","DL-3-Phenyllactic acid",50894
"8623","Hypothalamus","Control","DL-3-Phenyllactic acid",44708
"8624","Hypothalamus","Control","DL-3-Phenyllactic acid",53222
"8625","Hypothalamus","C4","DL-3-Phenyllactic acid",54582
"8626","Hypothalamus","C4","DL-3-Phenyllactic acid",69110
"8627","Hypothalamus","C4","DL-3-Phenyllactic acid",53282
"8628","Hypothalamus","C4","DL-3-Phenyllactic acid",46021
"8629","Hypothalamus","C4","DL-3-Phenyllactic acid",63965
"8630","Hypothalamus","C4","DL-3-Phenyllactic acid",78047
"8631","Hypothalamus","C4","DL-3-Phenyllactic acid",30190
"8632","Hypothalamus","C4","DL-3-Phenyllactic acid",67797
"8633","Hypothalamus","Est","DL-3-Phenyllactic acid",32251
"8634","Hypothalamus","Est","DL-3-Phenyllactic acid",31800
"8635","Hypothalamus","Est","DL-3-Phenyllactic acid",65918
"8636","Hypothalamus","Est","DL-3-Phenyllactic acid",55509
"8637","Hypothalamus","Est","DL-3-Phenyllactic acid",77894
"8638","Hypothalamus","Est","DL-3-Phenyllactic acid",38429
"8639","Hypothalamus","Est","DL-3-Phenyllactic acid",58099
"8640","Hypothalamus","Est","DL-3-Phenyllactic acid",68050
"8641","Hippocampus","Control","C12:0 FA(1)",40016932
"8642","Hippocampus","Control","C12:0 FA(1)",93364528
"8643","Hippocampus","Control","C12:0 FA(1)",71253440
"8644","Hippocampus","Control","C12:0 FA(1)",44118404
"8645","Hippocampus","Control","C12:0 FA(1)",46446092
"8646","Hippocampus","Control","C12:0 FA(1)",56007544
"8647","Hippocampus","Control","C12:0 FA(1)",59370676
"8648","Hippocampus","Control","C12:0 FA(1)",54189696
"8649","Hippocampus","C4","C12:0 FA(1)",75092672
"8650","Hippocampus","C4","C12:0 FA(1)",151044864
"8651","Hippocampus","C4","C12:0 FA(1)",47135684
"8652","Hippocampus","C4","C12:0 FA(1)",45930420
"8653","Hippocampus","C4","C12:0 FA(1)",56899804
"8654","Hippocampus","C4","C12:0 FA(1)",45181136
"8655","Hippocampus","C4","C12:0 FA(1)",83784232
"8656","Hippocampus","C4","C12:0 FA(1)",64544020
"8657","Hippocampus","Est","C12:0 FA(1)",96093096
"8658","Hippocampus","Est","C12:0 FA(1)",74439728
"8659","Hippocampus","Est","C12:0 FA(1)",47096776
"8660","Hippocampus","Est","C12:0 FA(1)",38965200
"8661","Hippocampus","Est","C12:0 FA(1)",27728936
"8662","Hippocampus","Est","C12:0 FA(1)",22768282
"8663","Hippocampus","Est","C12:0 FA(1)",39707652
"8664","Hippocampus","Est","C12:0 FA(1)",40030452
"8665","Basal ganglia","Control","C12:0 FA(1)",41867960
"8666","Basal ganglia","Control","C12:0 FA(1)",54394156
"8667","Basal ganglia","Control","C12:0 FA(1)",109620672
"8668","Basal ganglia","Control","C12:0 FA(1)",41037860
"8669","Basal ganglia","Control","C12:0 FA(1)",33148850
"8670","Basal ganglia","Control","C12:0 FA(1)",38537448
"8671","Basal ganglia","Control","C12:0 FA(1)",75123024
"8672","Basal ganglia","Control","C12:0 FA(1)",35458544
"8673","Basal ganglia","C4","C12:0 FA(1)",39937428
"8674","Basal ganglia","C4","C12:0 FA(1)",22626406
"8675","Basal ganglia","C4","C12:0 FA(1)",64218964
"8676","Basal ganglia","C4","C12:0 FA(1)",29587310
"8677","Basal ganglia","C4","C12:0 FA(1)",24406684
"8678","Basal ganglia","C4","C12:0 FA(1)",24680544
"8679","Basal ganglia","C4","C12:0 FA(1)",47033412
"8680","Basal ganglia","C4","C12:0 FA(1)",40377588
"8681","Basal ganglia","Est","C12:0 FA(1)",84322600
"8682","Basal ganglia","Est","C12:0 FA(1)",58245048
"8683","Basal ganglia","Est","C12:0 FA(1)",57617248
"8684","Basal ganglia","Est","C12:0 FA(1)",18122390
"8685","Basal ganglia","Est","C12:0 FA(1)",32253334
"8686","Basal ganglia","Est","C12:0 FA(1)",46732460
"8687","Basal ganglia","Est","C12:0 FA(1)",14076999
"8688","Basal ganglia","Est","C12:0 FA(1)",29460234
"8689","Hypothalamus","Control","C12:0 FA(1)",77062864
"8690","Hypothalamus","Control","C12:0 FA(1)",71115112
"8691","Hypothalamus","Control","C12:0 FA(1)",69014552
"8692","Hypothalamus","Control","C12:0 FA(1)",5262532
"8693","Hypothalamus","Control","C12:0 FA(1)",60990100
"8694","Hypothalamus","Control","C12:0 FA(1)",94946832
"8695","Hypothalamus","Control","C12:0 FA(1)",57577408
"8696","Hypothalamus","Control","C12:0 FA(1)",28895820
"8697","Hypothalamus","C4","C12:0 FA(1)",64407660
"8698","Hypothalamus","C4","C12:0 FA(1)",66461488
"8699","Hypothalamus","C4","C12:0 FA(1)",41456768
"8700","Hypothalamus","C4","C12:0 FA(1)",70794272
"8701","Hypothalamus","C4","C12:0 FA(1)",69065960
"8702","Hypothalamus","C4","C12:0 FA(1)",58401816
"8703","Hypothalamus","C4","C12:0 FA(1)",12685166
"8704","Hypothalamus","C4","C12:0 FA(1)",59550028
"8705","Hypothalamus","Est","C12:0 FA(1)",34872928
"8706","Hypothalamus","Est","C12:0 FA(1)",27506500
"8707","Hypothalamus","Est","C12:0 FA(1)",62760416
"8708","Hypothalamus","Est","C12:0 FA(1)",60719612
"8709","Hypothalamus","Est","C12:0 FA(1)",51084484
"8710","Hypothalamus","Est","C12:0 FA(1)",114524752
"8711","Hypothalamus","Est","C12:0 FA(1)",84807648
"8712","Hypothalamus","Est","C12:0 FA(1)",37336788
"8713","Hippocampus","Control","9,12-Octadecadienoic acid",133192528
"8714","Hippocampus","Control","9,12-Octadecadienoic acid",110312752
"8715","Hippocampus","Control","9,12-Octadecadienoic acid",33712088
"8716","Hippocampus","Control","9,12-Octadecadienoic acid",73049872
"8717","Hippocampus","Control","9,12-Octadecadienoic acid",54048852
"8718","Hippocampus","Control","9,12-Octadecadienoic acid",59972284
"8719","Hippocampus","Control","9,12-Octadecadienoic acid",38213180
"8720","Hippocampus","Control","9,12-Octadecadienoic acid",32034520
"8721","Hippocampus","C4","9,12-Octadecadienoic acid",64420252
"8722","Hippocampus","C4","9,12-Octadecadienoic acid",120246032
"8723","Hippocampus","C4","9,12-Octadecadienoic acid",69629248
"8724","Hippocampus","C4","9,12-Octadecadienoic acid",87030048
"8725","Hippocampus","C4","9,12-Octadecadienoic acid",54107224
"8726","Hippocampus","C4","9,12-Octadecadienoic acid",45607772
"8727","Hippocampus","C4","9,12-Octadecadienoic acid",79157072
"8728","Hippocampus","C4","9,12-Octadecadienoic acid",55344220
"8729","Hippocampus","Est","9,12-Octadecadienoic acid",67912056
"8730","Hippocampus","Est","9,12-Octadecadienoic acid",54525760
"8731","Hippocampus","Est","9,12-Octadecadienoic acid",72673432
"8732","Hippocampus","Est","9,12-Octadecadienoic acid",71016728
"8733","Hippocampus","Est","9,12-Octadecadienoic acid",57594816
"8734","Hippocampus","Est","9,12-Octadecadienoic acid",42697948
"8735","Hippocampus","Est","9,12-Octadecadienoic acid",100001920
"8736","Hippocampus","Est","9,12-Octadecadienoic acid",56343744
"8737","Basal ganglia","Control","9,12-Octadecadienoic acid",90428352
"8738","Basal ganglia","Control","9,12-Octadecadienoic acid",81934656
"8739","Basal ganglia","Control","9,12-Octadecadienoic acid",47298524
"8740","Basal ganglia","Control","9,12-Octadecadienoic acid",48297500
"8741","Basal ganglia","Control","9,12-Octadecadienoic acid",70914784
"8742","Basal ganglia","Control","9,12-Octadecadienoic acid",100641488
"8743","Basal ganglia","Control","9,12-Octadecadienoic acid",36464860
"8744","Basal ganglia","Control","9,12-Octadecadienoic acid",45575272
"8745","Basal ganglia","C4","9,12-Octadecadienoic acid",40245232
"8746","Basal ganglia","C4","9,12-Octadecadienoic acid",41966292
"8747","Basal ganglia","C4","9,12-Octadecadienoic acid",63587676
"8748","Basal ganglia","C4","9,12-Octadecadienoic acid",61309672
"8749","Basal ganglia","C4","9,12-Octadecadienoic acid",59121012
"8750","Basal ganglia","C4","9,12-Octadecadienoic acid",45879020
"8751","Basal ganglia","C4","9,12-Octadecadienoic acid",85743256
"8752","Basal ganglia","C4","9,12-Octadecadienoic acid",64348064
"8753","Basal ganglia","Est","9,12-Octadecadienoic acid",48975356
"8754","Basal ganglia","Est","9,12-Octadecadienoic acid",82921432
"8755","Basal ganglia","Est","9,12-Octadecadienoic acid",72118840
"8756","Basal ganglia","Est","9,12-Octadecadienoic acid",96864072
"8757","Basal ganglia","Est","9,12-Octadecadienoic acid",74258896
"8758","Basal ganglia","Est","9,12-Octadecadienoic acid",50006428
"8759","Basal ganglia","Est","9,12-Octadecadienoic acid",46660264
"8760","Basal ganglia","Est","9,12-Octadecadienoic acid",55922488
"8761","Hypothalamus","Control","9,12-Octadecadienoic acid",38306156
"8762","Hypothalamus","Control","9,12-Octadecadienoic acid",24710756
"8763","Hypothalamus","Control","9,12-Octadecadienoic acid",29245380
"8764","Hypothalamus","Control","9,12-Octadecadienoic acid",14599518
"8765","Hypothalamus","Control","9,12-Octadecadienoic acid",64043212
"8766","Hypothalamus","Control","9,12-Octadecadienoic acid",72720896
"8767","Hypothalamus","Control","9,12-Octadecadienoic acid",40736064
"8768","Hypothalamus","Control","9,12-Octadecadienoic acid",39494768
"8769","Hypothalamus","C4","9,12-Octadecadienoic acid",53173016
"8770","Hypothalamus","C4","9,12-Octadecadienoic acid",48496396
"8771","Hypothalamus","C4","9,12-Octadecadienoic acid",47872808
"8772","Hypothalamus","C4","9,12-Octadecadienoic acid",38948176
"8773","Hypothalamus","C4","9,12-Octadecadienoic acid",48218948
"8774","Hypothalamus","C4","9,12-Octadecadienoic acid",46644204
"8775","Hypothalamus","C4","9,12-Octadecadienoic acid",12160606
"8776","Hypothalamus","C4","9,12-Octadecadienoic acid",53031672
"8777","Hypothalamus","Est","9,12-Octadecadienoic acid",54501920
"8778","Hypothalamus","Est","9,12-Octadecadienoic acid",32816808
"8779","Hypothalamus","Est","9,12-Octadecadienoic acid",51798416
"8780","Hypothalamus","Est","9,12-Octadecadienoic acid",77947072
"8781","Hypothalamus","Est","9,12-Octadecadienoic acid",53358520
"8782","Hypothalamus","Est","9,12-Octadecadienoic acid",72683064
"8783","Hypothalamus","Est","9,12-Octadecadienoic acid",54598188
"8784","Hypothalamus","Est","9,12-Octadecadienoic acid",24747126
"8785","Hippocampus","Control","Methylglucamine",13161
"8786","Hippocampus","Control","Methylglucamine",0
"8787","Hippocampus","Control","Methylglucamine",0
"8788","Hippocampus","Control","Methylglucamine",14510
"8789","Hippocampus","Control","Methylglucamine",0
"8790","Hippocampus","Control","Methylglucamine",16162
"8791","Hippocampus","Control","Methylglucamine",0
"8792","Hippocampus","Control","Methylglucamine",0
"8793","Hippocampus","C4","Methylglucamine",0
"8794","Hippocampus","C4","Methylglucamine",0
"8795","Hippocampus","C4","Methylglucamine",0
"8796","Hippocampus","C4","Methylglucamine",12463
"8797","Hippocampus","C4","Methylglucamine",0
"8798","Hippocampus","C4","Methylglucamine",0
"8799","Hippocampus","C4","Methylglucamine",0
"8800","Hippocampus","C4","Methylglucamine",6954
"8801","Hippocampus","Est","Methylglucamine",6767
"8802","Hippocampus","Est","Methylglucamine",9671
"8803","Hippocampus","Est","Methylglucamine",0
"8804","Hippocampus","Est","Methylglucamine",9460
"8805","Hippocampus","Est","Methylglucamine",0
"8806","Hippocampus","Est","Methylglucamine",26104
"8807","Hippocampus","Est","Methylglucamine",0
"8808","Hippocampus","Est","Methylglucamine",9500
"8809","Basal ganglia","Control","Methylglucamine",0
"8810","Basal ganglia","Control","Methylglucamine",0
"8811","Basal ganglia","Control","Methylglucamine",0
"8812","Basal ganglia","Control","Methylglucamine",0
"8813","Basal ganglia","Control","Methylglucamine",9040
"8814","Basal ganglia","Control","Methylglucamine",1214430
"8815","Basal ganglia","Control","Methylglucamine",9289452
"8816","Basal ganglia","Control","Methylglucamine",917236
"8817","Basal ganglia","C4","Methylglucamine",13899
"8818","Basal ganglia","C4","Methylglucamine",0
"8819","Basal ganglia","C4","Methylglucamine",8842
"8820","Basal ganglia","C4","Methylglucamine",0
"8821","Basal ganglia","C4","Methylglucamine",0
"8822","Basal ganglia","C4","Methylglucamine",0
"8823","Basal ganglia","C4","Methylglucamine",0
"8824","Basal ganglia","C4","Methylglucamine",0
"8825","Basal ganglia","Est","Methylglucamine",18708
"8826","Basal ganglia","Est","Methylglucamine",0
"8827","Basal ganglia","Est","Methylglucamine",15760
"8828","Basal ganglia","Est","Methylglucamine",22547
"8829","Basal ganglia","Est","Methylglucamine",35077
"8830","Basal ganglia","Est","Methylglucamine",13192
"8831","Basal ganglia","Est","Methylglucamine",10546
"8832","Basal ganglia","Est","Methylglucamine",13965
"8833","Hypothalamus","Control","Methylglucamine",0
"8834","Hypothalamus","Control","Methylglucamine",8158
"8835","Hypothalamus","Control","Methylglucamine",0
"8836","Hypothalamus","Control","Methylglucamine",0
"8837","Hypothalamus","Control","Methylglucamine",9883
"8838","Hypothalamus","Control","Methylglucamine",11662
"8839","Hypothalamus","Control","Methylglucamine",18059
"8840","Hypothalamus","Control","Methylglucamine",0
"8841","Hypothalamus","C4","Methylglucamine",9376
"8842","Hypothalamus","C4","Methylglucamine",15726
"8843","Hypothalamus","C4","Methylglucamine",16876
"8844","Hypothalamus","C4","Methylglucamine",0
"8845","Hypothalamus","C4","Methylglucamine",9081
"8846","Hypothalamus","C4","Methylglucamine",0
"8847","Hypothalamus","C4","Methylglucamine",7551
"8848","Hypothalamus","C4","Methylglucamine",0
"8849","Hypothalamus","Est","Methylglucamine",0
"8850","Hypothalamus","Est","Methylglucamine",0
"8851","Hypothalamus","Est","Methylglucamine",0
"8852","Hypothalamus","Est","Methylglucamine",0
"8853","Hypothalamus","Est","Methylglucamine",16091
"8854","Hypothalamus","Est","Methylglucamine",0
"8855","Hypothalamus","Est","Methylglucamine",9054
"8856","Hypothalamus","Est","Methylglucamine",0
"8857","Hippocampus","Control","Mesalamine",872713
"8858","Hippocampus","Control","Mesalamine",890322
"8859","Hippocampus","Control","Mesalamine",914430
"8860","Hippocampus","Control","Mesalamine",842960
"8861","Hippocampus","Control","Mesalamine",882257
"8862","Hippocampus","Control","Mesalamine",872587
"8863","Hippocampus","Control","Mesalamine",861896
"8864","Hippocampus","Control","Mesalamine",809800
"8865","Hippocampus","C4","Mesalamine",949205
"8866","Hippocampus","C4","Mesalamine",935912
"8867","Hippocampus","C4","Mesalamine",865808
"8868","Hippocampus","C4","Mesalamine",849836
"8869","Hippocampus","C4","Mesalamine",880621
"8870","Hippocampus","C4","Mesalamine",859397
"8871","Hippocampus","C4","Mesalamine",917156
"8872","Hippocampus","C4","Mesalamine",1049730
"8873","Hippocampus","Est","Mesalamine",962406
"8874","Hippocampus","Est","Mesalamine",984244
"8875","Hippocampus","Est","Mesalamine",880539
"8876","Hippocampus","Est","Mesalamine",999978
"8877","Hippocampus","Est","Mesalamine",921647
"8878","Hippocampus","Est","Mesalamine",720269
"8879","Hippocampus","Est","Mesalamine",902278
"8880","Hippocampus","Est","Mesalamine",874531
"8881","Basal ganglia","Control","Mesalamine",637434
"8882","Basal ganglia","Control","Mesalamine",452758
"8883","Basal ganglia","Control","Mesalamine",822809
"8884","Basal ganglia","Control","Mesalamine",632553
"8885","Basal ganglia","Control","Mesalamine",662305
"8886","Basal ganglia","Control","Mesalamine",648158
"8887","Basal ganglia","Control","Mesalamine",606901
"8888","Basal ganglia","Control","Mesalamine",718401
"8889","Basal ganglia","C4","Mesalamine",608408
"8890","Basal ganglia","C4","Mesalamine",549312
"8891","Basal ganglia","C4","Mesalamine",614636
"8892","Basal ganglia","C4","Mesalamine",629604
"8893","Basal ganglia","C4","Mesalamine",560298
"8894","Basal ganglia","C4","Mesalamine",629898
"8895","Basal ganglia","C4","Mesalamine",633816
"8896","Basal ganglia","C4","Mesalamine",628099
"8897","Basal ganglia","Est","Mesalamine",788578
"8898","Basal ganglia","Est","Mesalamine",760403
"8899","Basal ganglia","Est","Mesalamine",683932
"8900","Basal ganglia","Est","Mesalamine",364751
"8901","Basal ganglia","Est","Mesalamine",284813
"8902","Basal ganglia","Est","Mesalamine",268978
"8903","Basal ganglia","Est","Mesalamine",236637
"8904","Basal ganglia","Est","Mesalamine",252380
"8905","Hypothalamus","Control","Mesalamine",845248
"8906","Hypothalamus","Control","Mesalamine",834906
"8907","Hypothalamus","Control","Mesalamine",788276
"8908","Hypothalamus","Control","Mesalamine",217699
"8909","Hypothalamus","Control","Mesalamine",798491
"8910","Hypothalamus","Control","Mesalamine",682765
"8911","Hypothalamus","Control","Mesalamine",814312
"8912","Hypothalamus","Control","Mesalamine",370450
"8913","Hypothalamus","C4","Mesalamine",756542
"8914","Hypothalamus","C4","Mesalamine",932547
"8915","Hypothalamus","C4","Mesalamine",737231
"8916","Hypothalamus","C4","Mesalamine",855327
"8917","Hypothalamus","C4","Mesalamine",784935
"8918","Hypothalamus","C4","Mesalamine",684320
"8919","Hypothalamus","C4","Mesalamine",316055
"8920","Hypothalamus","C4","Mesalamine",862354
"8921","Hypothalamus","Est","Mesalamine",584794
"8922","Hypothalamus","Est","Mesalamine",443383
"8923","Hypothalamus","Est","Mesalamine",979463
"8924","Hypothalamus","Est","Mesalamine",871508
"8925","Hypothalamus","Est","Mesalamine",934701
"8926","Hypothalamus","Est","Mesalamine",906846
"8927","Hypothalamus","Est","Mesalamine",1014775
"8928","Hypothalamus","Est","Mesalamine",446918
"8929","Hippocampus","Control","Androst-4-en-3-one, 17-hydroxy-17-methyl-, (17beta)-",117938
"8930","Hippocampus","Control","Androst-4-en-3-one, 17-hydroxy-17-methyl-, (17beta)-",252908
"8931","Hippocampus","Control","Androst-4-en-3-one, 17-hydroxy-17-methyl-, (17beta)-",988418
"8932","Hippocampus","Control","Androst-4-en-3-one, 17-hydroxy-17-methyl-, (17beta)-",131104
"8933","Hippocampus","Control","Androst-4-en-3-one, 17-hydroxy-17-methyl-, (17beta)-",641315
"8934","Hippocampus","Control","Androst-4-en-3-one, 17-hydroxy-17-methyl-, (17beta)-",502376
"8935","Hippocampus","Control","Androst-4-en-3-one, 17-hydroxy-17-methyl-, (17beta)-",1309444
"8936","Hippocampus","Control","Androst-4-en-3-one, 17-hydroxy-17-methyl-, (17beta)-",781610
"8937","Hippocampus","C4","Androst-4-en-3-one, 17-hydroxy-17-methyl-, (17beta)-",603214
"8938","Hippocampus","C4","Androst-4-en-3-one, 17-hydroxy-17-methyl-, (17beta)-",325419
"8939","Hippocampus","C4","Androst-4-en-3-one, 17-hydroxy-17-methyl-, (17beta)-",66228
"8940","Hippocampus","C4","Androst-4-en-3-one, 17-hydroxy-17-methyl-, (17beta)-",362512
